2025-06-11T00:01:26.193Z [INFO] Serveur démarré sur http://localhost:3000
2025-06-11T00:01:31.324Z [INFO] GET /uploads/1749515324735-521522946.jpg | {"ip":"::1","status":404,"duration":"17ms","user":"anonymous"}
2025-06-11T00:01:35.540Z [INFO] GET / | {"ip":"::1","status":200,"duration":"14ms","user":"anonymous"}
2025-06-11T00:14:03.535Z [INFO] GET / | {"ip":"::1","status":304,"duration":"7ms","user":"anonymous"}
2025-06-11T00:14:04.540Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:04.738Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:04.919Z [INFO] GET / | {"ip":"::1","status":304,"duration":"3ms","user":"anonymous"}
2025-06-11T00:14:05.094Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:05.257Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:05.517Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:05.697Z [INFO] GET / | {"ip":"::1","status":304,"duration":"3ms","user":"anonymous"}
2025-06-11T00:14:05.860Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:06.033Z [INFO] GET / | {"ip":"::1","status":304,"duration":"3ms","user":"anonymous"}
2025-06-11T00:14:06.207Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:06.372Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:06.539Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:06.705Z [INFO] GET / | {"ip":"::1","status":304,"duration":"3ms","user":"anonymous"}
2025-06-11T00:14:06.875Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:07.060Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:19.998Z [INFO] GET / | {"ip":"::1","status":304,"duration":"4ms","user":"anonymous"}
2025-06-11T00:14:20.188Z [INFO] GET / | {"ip":"::1","status":304,"duration":"3ms","user":"anonymous"}
2025-06-11T00:14:20.377Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:20.609Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:20.823Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:21.000Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:21.179Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:21.346Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:21.518Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
